Strategy,Period,Ann_Return,Ann_Vol,Sharpe,Max_DD,Calmar
Equal_Weighted,Full,7.68,19.1,0.402,-35.34,0.217
Historical_RP,Full,8.63,17.6,0.49,-32.23,0.268
Method_A_ARMA,Full,0.0,0.0,0.0,0.0,0.0
Method_A_XGBoost,Full,5.98,17.28,0.346,-32.22,0.186
Method_B_XGBoost,Full,5.29,17.1,0.309,-33.26,0.159
Method_C_XGBoost,Full,3.42,18.12,0.189,-37.26,0.092
