,CRM,VZ,WMT,INTC,UNH,MRK,BA,NKE,CVX,AMGN
2018-01-02,0.125551209652872,0.05,0.05,0.13406394745204533,0.1371611087305778,0.05057168459920689,0.10542019687179172,0.10947633979107495,0.1733374131283886,0.0644180997740427
2018-01-03,0.13457243749111056,0.05,0.05,0.14624197162812375,0.12862396644927737,0.05087769254867786,0.11441347653934153,0.10469101592864695,0.15253118173604363,0.0680482576787783
2018-01-04,0.12443498580708849,0.060900408810913506,0.05,0.11999166341052907,0.14742782748065136,0.05,0.10472232005086948,0.10781269369799693,0.17289165111277705,0.06181844962917413
2018-01-05,0.15580158205673295,0.05633089081524264,0.05000000000000001,0.11050293691475081,0.1364641558019466,0.05465526247254799,0.10326270167498972,0.10637557998494944,0.16857321904624298,0.05803367123259702
2018-01-08,0.14534654633370017,0.056018639582797965,0.05,0.120661488967604,0.15107861486095522,0.05760727715113814,0.08814309212590375,0.10415764391515213,0.16284026844910807,0.06414642861364059
2018-01-09,0.12163803729035458,0.05,0.05,0.1261641013706763,0.13092312208730658,0.05350951920908424,0.09301640864972444,0.11314109866962765,0.18543304709072772,0.07617466563249854
2018-01-10,0.116379751073338,0.05663829973138452,0.05561893264400455,0.12757509605095474,0.13444576109711634,0.05099963258686278,0.08669174335407813,0.10291342022906874,0.18174679800213533,0.08699056523105701
2018-01-11,0.11758808044750999,0.058008483654818276,0.057592489603530896,0.1294842985157426,0.11993553980851572,0.05232092254526565,0.08604885731278059,0.10392507575198243,0.1878287042874456,0.08726754807240826
2018-01-12,0.1062216581558436,0.052999764403452373,0.05618530747662503,0.11882761111336397,0.12521830026138692,0.05008258162989837,0.17112413099480872,0.0941530816020286,0.1402876290444958,0.0848999353180967
2018-01-16,0.10467088971606447,0.05,0.05727362991099884,0.12441941434115975,0.15487574796263792,0.05,0.16680802408216824,0.08889178789440788,0.12228851590769182,0.08077199018487115
2018-01-17,0.13583433126618047,0.05,0.05720769016827488,0.11471818746320052,0.14762430990643918,0.05,0.16808219714696235,0.09593284023743065,0.10518858378343555,0.0754118600280764
2018-01-18,0.15126470862291286,0.05,0.06145356866193308,0.12466007103386434,0.16568451576816398,0.05000000000000001,0.1349716022048144,0.0931676728905514,0.09926153872257307,0.06953632209518691
2018-01-19,0.16954274666620414,0.05,0.06905234069318829,0.12072826363242659,0.16111520068586388,0.05,0.0768464180520405,0.09417900635758773,0.13832952263763856,0.0702065012750503
2018-01-22,0.17696190114157392,0.05,0.052570388835894065,0.12789558537706655,0.16464536989106404,0.05000000000000002,0.06989245407322797,0.05863308528052226,0.17186544398027037,0.07753577142038073
2018-01-23,0.1690381723581626,0.05,0.05,0.11892151253060143,0.17368857859748132,0.05,0.07441876850422427,0.05188331988222776,0.1742695490733874,0.08778009905391529
2018-01-24,0.1409794867277222,0.05,0.05,0.13526939934232451,0.1319865028169109,0.0736495055582904,0.08931948001055959,0.0732004077836863,0.17518650885295098,0.08040870890755511
2018-01-25,0.14990665734105305,0.05,0.05,0.11540658277939092,0.12099085936504181,0.07489795528890074,0.13948708802413035,0.06829717695822361,0.1637617840509017,0.06725189619235795
2018-01-26,0.12950140405793342,0.05000000000000001,0.05,0.12368145671869088,0.13639018483192358,0.072784350313629,0.11801990555288644,0.08668215334984662,0.16251701161064713,0.07042353356444292
2018-01-29,0.15360967235644535,0.05465014945538794,0.05,0.06819684705189193,0.14897930833818882,0.06906995776495418,0.10687914026740153,0.10114076935136676,0.1904631001503199,0.05701105526404364
2018-01-30,0.14872054508329122,0.06530074194446255,0.05,0.05824213388206439,0.18008600645936007,0.06764510455190159,0.10891315151115635,0.10189225153750495,0.16509146735015606,0.054108597680102996
2018-01-31,0.17644013078913215,0.0711134546307265,0.05,0.06152963450440029,0.08223360491902142,0.09421644938864562,0.13227844947870648,0.11390207479074682,0.16828620149862078,0.05
2018-02-01,0.14370453872641817,0.08794234821557873,0.05,0.05993280221419722,0.07656746892399839,0.08679751771656058,0.16950212396283248,0.11337688387865727,0.1621763163617572,0.05
2018-02-02,0.14008302094999753,0.0847603338402481,0.05,0.1017093465410272,0.07638644392511584,0.0710040877649357,0.16648754294616214,0.10980874134380637,0.14976048268870715,0.05
2018-02-05,0.1554382230111618,0.08098932709495002,0.05677845000519024,0.10637276753774254,0.11739926769203968,0.07498159832556747,0.12247147243628842,0.11565226561924223,0.11515013371343494,0.054766494564382553
2018-02-06,0.1365733349972805,0.057180864493203566,0.05830142486928161,0.13731536899163593,0.11646143705827205,0.09020682926409312,0.08509049775976878,0.12993806529684357,0.12604008228871733,0.06289209498090349
2018-02-07,0.13464624702508618,0.05028327919660981,0.0769901079678722,0.14557585603903883,0.1353560587925834,0.08844168820620044,0.1001486695841074,0.121727963322492,0.08750755876350166,0.05932257110250805
2018-02-08,0.12377532344118519,0.05,0.06757274259165177,0.14801259254296972,0.133070332781043,0.0881239609145275,0.10967689538176405,0.1315262747639799,0.08899402130091706,0.0592478562819619
2018-02-09,0.09015595698511053,0.056406837470613265,0.05428000614392147,0.17309866881559477,0.14138094030575282,0.09927714319875669,0.129889685053259,0.09713436518004928,0.09721069141809811,0.061165705428844086
2018-02-12,0.0733247497128169,0.07114357985537717,0.05971337086445397,0.16834204960351187,0.1375723429933181,0.10614493600736269,0.15510541023657654,0.06969706564200241,0.08601285761036773,0.07294363747421267
2018-02-13,0.06099878593817054,0.06643845239540837,0.09131953248829466,0.15315047616083596,0.13513229190094397,0.09096748997776258,0.14447569651157693,0.07376232247297738,0.09751164216527093,0.08624330998875858
2018-02-14,0.059253649844768726,0.06819155564263137,0.1078523472166077,0.14117030585938062,0.14135749006746526,0.08567957753673829,0.1502395448783271,0.0691278576578367,0.08023063184152589,0.09689703945471831
2018-02-15,0.06126377245741433,0.0728948438838328,0.12957578282741714,0.13009474711048158,0.14261559384623493,0.10427497717633225,0.1288591825727599,0.0780795548625637,0.07517821461041069,0.07716333065255282
2018-02-16,0.0888212197107775,0.08649812337014526,0.09309368621068066,0.1255774517568231,0.13437345301334583,0.08799320509069487,0.10983842438374883,0.12077802077700045,0.08632174424945468,0.06670467143732893
2018-02-20,0.10177627244422939,0.08639759255772207,0.08485377801582147,0.12546231308371736,0.13447591871552472,0.08683186940560939,0.10598804282005107,0.11638300155067881,0.08857334073252542,0.06925787067412033
2018-02-21,0.11771167196745858,0.08626428627625154,0.05000000000000002,0.1229630433836186,0.12358836131132167,0.10652205906312828,0.11074879843632723,0.11314460038668013,0.10409989897759611,0.06495728019761786
2018-02-22,0.10139468993739557,0.07556637729647876,0.05,0.1272227178394425,0.12658645160104628,0.09455942379410835,0.11512162385799843,0.13020353458308662,0.10347526488618441,0.07586991620425908
2018-02-23,0.10690376165252473,0.0737159879963665,0.05000000000000001,0.14114295846336694,0.12547439487047554,0.08604706914196628,0.11723808397108278,0.13130523970704472,0.10273559898594439,0.06543690521122811
2018-02-26,0.1201277815270649,0.08065268144889517,0.05,0.14711511436020766,0.15062132211545062,0.08961916600484111,0.1291741981056301,0.06628484413706365,0.10724679189950699,0.05915810040133968
2018-02-27,0.09760376348301254,0.07425417005369944,0.05000000000000001,0.13419298548995337,0.14620118805881369,0.08052977362146106,0.11553393642432097,0.13965701730215133,0.10399627798366028,0.05803088758292735
2018-02-28,0.09842326472164545,0.07210723002195665,0.07795761363087544,0.12567084935291603,0.14521083424551046,0.08155678208969173,0.12387484439371274,0.11408931056356865,0.09863769729387124,0.062471573686251655
2018-03-01,0.10472455350895585,0.07613408626192944,0.07220807281999372,0.1183508286952051,0.1295153555450628,0.08634157127722096,0.1243828354935293,0.10484028413455301,0.10502380480617521,0.07847860745737462
2018-03-02,0.10716150326400567,0.06805891272929224,0.07779528648892262,0.12758271946763763,0.12777282363574505,0.08099467428065,0.12438244727761304,0.10618264882877135,0.1110954526585317,0.06897353136883064
2018-03-05,0.10366088046198459,0.07063107975112053,0.08222520780005807,0.10998735036237821,0.1317130281140177,0.0855248433233021,0.12336240504507472,0.12258804620694481,0.10292905685389915,0.06737810208122007
2018-03-06,0.11138672762045797,0.07682632629501877,0.0833649967871303,0.10927438858825064,0.11625988030263354,0.09256588634779625,0.1314687595457747,0.0993416479927963,0.10046868643229659,0.07904270008784497
2018-03-07,0.10580205645815395,0.08812482462325602,0.09189603012463267,0.11082117293810441,0.12283735419380537,0.08857746503607702,0.131197303872091,0.09461961322371898,0.09864512594971016,0.0674790535804504
2018-03-08,0.10757653576467817,0.08763560679909495,0.10076030809074238,0.10720193064001948,0.11052275565761797,0.08211930252259499,0.14549780273540963,0.08503564357520518,0.10669735041415919,0.06695276380047804
2018-03-09,0.10235526095896047,0.08516486620740632,0.09549463896954245,0.11769130014736573,0.11414171471437333,0.07734566129348162,0.1378877480687092,0.08437366790666308,0.11125228146450006,0.07429286026899776
2018-03-12,0.09792360326927081,0.08470630487036507,0.09437103322631085,0.12347840125373923,0.11500309890178137,0.07561383703232208,0.1317383152718347,0.09582931080093945,0.10880346474628352,0.07253263062715293
2018-03-13,0.11117695178810691,0.0655034457782187,0.08294189174564123,0.11539707118064352,0.12493081315009362,0.06271361828389127,0.14915187453924614,0.10260997652434377,0.10641536265316902,0.07915899435664583
2018-03-14,0.10232246330006936,0.05603361615857243,0.0799205501087079,0.116744127907599,0.13126587608511117,0.0610430162200655,0.14156396309821492,0.10288507846614461,0.12427623292570418,0.0839450757298108
2018-03-15,0.11367069710261468,0.05205606690896672,0.08156310853541106,0.11478879242548068,0.12226610744567591,0.05795595032306927,0.1269406683797477,0.1053114462869496,0.13362134203328344,0.09182582055880097
2018-03-16,0.11250997175353666,0.05464432506396103,0.0687245366485067,0.11117587319421351,0.12475399821205768,0.05770242272373726,0.1393390448937057,0.10558562437680316,0.13384372833877756,0.09172047479470077
2018-03-19,0.12404261347211813,0.0575967047358595,0.08793031220146295,0.11413278996212933,0.14200383469264258,0.05678744440219673,0.13098316573952154,0.10018989426641092,0.12055975104864912,0.06577348947900909
2018-03-20,0.11736293665275042,0.05490646297199975,0.07876551236495563,0.11038240361413926,0.13128373663728518,0.06813339629716254,0.1410878852162411,0.09608592328464609,0.12424145907890413,0.07775028388191602
2018-03-21,0.11440722328119995,0.05165142555671738,0.07372832265267901,0.1056544639786889,0.11862138861856986,0.06332727262446994,0.15798665120512154,0.0985229895353304,0.14573536223020714,0.07036490031701594
2018-03-22,0.12911020617433783,0.05391706925917483,0.060425628279694346,0.10879338445736937,0.1474081111136701,0.0624979509305724,0.12185638498364523,0.1013408750906491,0.1332484429340082,0.08140194677687856
2018-03-23,0.15075706502249028,0.05567711553692981,0.05837869436019821,0.11212645067086725,0.12621784289538596,0.06583262082571964,0.12866188255734023,0.11594959944022129,0.11759491420109855,0.06880381448974879
2018-03-26,0.14509022698890306,0.05278967244495603,0.06169356600458157,0.12488537452056406,0.12485540047381712,0.07141663831456047,0.11158025762986323,0.11203662503869352,0.12743685283198858,0.06821538575207234
2018-03-27,0.08640472031826474,0.0755802318597843,0.0757868184917628,0.09574942538196643,0.09687906344919138,0.08736358912587792,0.13693960758792664,0.12582769768936866,0.14272080594759382,0.07674804014826327
2018-03-28,0.07369219514435299,0.07543409588411067,0.08261570875708443,0.09051003288940145,0.10989044809839602,0.07912578888649671,0.12813538438289446,0.1287184309602344,0.15324423126244927,0.07863368373457963
2018-03-29,0.08129427324113496,0.07131522344281321,0.07825486160804032,0.07566653265656613,0.11576769421287882,0.06318489043938372,0.13822529141446738,0.15067883703582113,0.15160729216594146,0.07400510378295284
2018-04-02,0.0726235464410971,0.07067590025161749,0.07906543620905594,0.06084994768639781,0.13859957387936514,0.06071350077407718,0.1447379130475954,0.15060763076138917,0.14102888827603138,0.08109766267337358
2018-04-03,0.08268425836854536,0.07796550671112196,0.06354866874274562,0.1016654307366357,0.14496828546657994,0.0601101766029509,0.13556106727685405,0.11605005746184235,0.1417156994117299,0.07573084922099427
2018-04-04,0.10677218201022051,0.08497910688112473,0.07464902085958813,0.10187255153708889,0.12565616302018953,0.059539326584222604,0.134597753105774,0.08641053677905011,0.13802439906610936,0.08749896015663197
