,CRM,VZ,WMT,INTC,UNH,MRK,BA,NKE,CVX,AMGN
2018-01-02,0.11139402582508066,0.07787837960420714,0.21746919480309426,0.08470962911594751,0.12822332633598826,0.10918809820910333,0.056972112734402794,0.04999994742295264,0.09145895278475588,0.07270633316446763
2018-01-03,0.11997314922514721,0.07855995702307389,0.18900075274335087,0.08778234931784155,0.13347421342984533,0.11031291110591049,0.060543651037780574,0.0499992390055339,0.09552923798769525,0.0748245391238209
2018-01-04,0.12700301526962948,0.07888122886598752,0.1677027838687435,0.09038656765425544,0.13973698615097133,0.10910948491821106,0.0636085364622788,0.04999952762368173,0.09759160510865673,0.07598026407758439
2018-01-05,0.13454154138402258,0.07959120477409432,0.15038265896069838,0.09204449475720891,0.14411245129328076,0.1080863041809569,0.06502649424609888,0.0499997666629876,0.09945944082421325,0.07675564291643841
2018-01-08,0.14438836626485574,0.08003985642251964,0.13654747457365315,0.09288627852389236,0.14299701978584728,0.10701162910520555,0.066181267463532,0.04999970888339942,0.1017080585199834,0.07824034045711142
2018-01-09,0.15463610547057344,0.08052259293646848,0.12434771697174235,0.0931931001552761,0.1370593140943926,0.10641745820176549,0.0671369669761495,0.052351133730666244,0.10459442290123405,0.07974118856173186
2018-01-10,0.16319755898545904,0.08197061097459787,0.11398821306760522,0.09423192638994074,0.13268705104847536,0.1050305912837828,0.06667918055868688,0.05453240793269633,0.10674577500178424,0.08093668475697156
2018-01-11,0.16300915655365136,0.08444481343312414,0.10701260446370797,0.09574612465255493,0.12745537877911498,0.10622073646863733,0.06762459784097626,0.057744611580129244,0.1074091696226519,0.08333280660545195
2018-01-12,0.16553084342157054,0.08601533475445056,0.10018119698433546,0.09567946519058934,0.12327734561004829,0.10618677147018937,0.06889371421801137,0.061110598453391646,0.10786107663584232,0.08526365326157118
2018-01-16,0.16418726862317867,0.08823732926373215,0.09632851698429773,0.096472170848112,0.1220713237107306,0.10256144470821318,0.0703918666663149,0.06414278329946688,0.10806211229999148,0.0875451835959624
2018-01-17,0.16106220741630725,0.09079216553405063,0.0924037335124118,0.09681652537466597,0.12153471499468745,0.10006775626041557,0.07167728360056841,0.0672832844455949,0.1086098328360576,0.08975249602524027
2018-01-18,0.15680206553639447,0.09283105606484535,0.08911738049169184,0.09986157879256122,0.12306819426969176,0.09619264758643672,0.07157589061381532,0.07030900809176137,0.10841540869109535,0.09182676986170674
2018-01-19,0.15226747339346672,0.09434514739993435,0.0878501483184081,0.10285719711918619,0.12340939792579034,0.09180943807028197,0.07070328205224964,0.07224936034916203,0.11067220364490607,0.09383635172661466
2018-01-22,0.14870862265262014,0.09354944083037343,0.08730516708721422,0.10586181176730126,0.12343887911132374,0.08751359049575246,0.06974347647568596,0.07480346793698674,0.11272576287343647,0.09634978076930556
2018-01-23,0.14768011486942553,0.09201015234351465,0.08620444107703588,0.10792160727319235,0.12214050986853943,0.08719896166522512,0.06837286090807164,0.0758401831224887,0.11489886688266393,0.0977323019898427
2018-01-24,0.14569151779218859,0.09001658760307431,0.08510241079579338,0.11084656414035726,0.11971119582487473,0.08659235564687061,0.06921246913716102,0.07728840293007999,0.11768121591564917,0.09785728021395089
2018-01-25,0.14181930509507254,0.08806251422968318,0.08428704199182077,0.1129828231867415,0.11949701705160452,0.08646169965494588,0.07104308225338596,0.07839872702790125,0.12028374993711458,0.09716403957172992
2018-01-26,0.13840198755385957,0.08780247254372514,0.08386613087244975,0.10792354150556888,0.11882039886347644,0.08691401976422476,0.07389671581643358,0.08266909912663142,0.12341521484227531,0.09629041911135518
2018-01-29,0.13538970864967048,0.08754857710649108,0.0831609554999242,0.10198090871736039,0.11823162429337002,0.0871444622089093,0.07668174938257956,0.08765684872701329,0.12703558636982495,0.09516957904485678
2018-01-30,0.13209240295873062,0.08732986701682473,0.08178372004439755,0.09655023469680916,0.11581352709684342,0.08783473932210484,0.07969781920243593,0.09344045714552508,0.13214681372806905,0.09331041878825971
2018-01-31,0.1290253749351405,0.08926501367644699,0.08080598466246679,0.09200702557778916,0.11509784666308312,0.0895906833501507,0.08144090087293437,0.0965760142538436,0.13394893612807587,0.09224221988006885
2018-02-01,0.12708125065838377,0.09103520280553563,0.07944588127384607,0.08825166989034999,0.11417155027899664,0.09037318095257589,0.08328257503002211,0.09867789386343252,0.13576881415703362,0.09191198108982357
2018-02-02,0.12425319780487507,0.0916417141862893,0.077826375290959,0.0927803658568846,0.11330777782857793,0.09074101548601979,0.08389662897320933,0.09934219971672392,0.13425188753492076,0.09195883732154027
2018-02-05,0.12206608537267631,0.09147618893165929,0.07680907612854004,0.09823954163844086,0.11300504922591222,0.09172959816692841,0.08380505376118595,0.0979798520039078,0.13266195538904016,0.09222759938170907
2018-02-06,0.11928517659275595,0.09184707009259717,0.07598283767588662,0.10323860931430351,0.11288198942072597,0.09376358399714965,0.0851559905743115,0.09705068013434318,0.12835812078788772,0.09243594141003866
2018-02-07,0.11605376597420236,0.09253833905002055,0.07435785014302261,0.10801913161999085,0.11284806575862283,0.09563955435004243,0.08743292896364,0.09602364478464247,0.12470712330895688,0.09237959604685904
2018-02-08,0.11218280318698337,0.09345670071575303,0.0733914370385598,0.11076993057038978,0.11289999751042537,0.09900484551721675,0.08978799394365683,0.09497270013745307,0.12099919947885136,0.09253439190071046
2018-02-09,0.10913756618385562,0.0927983748938363,0.07297214431836532,0.11124763564205406,0.11288509727379858,0.10279619678456715,0.09257498594183843,0.09284986892095975,0.11956877646690957,0.09316935357381523
2018-02-12,0.10455078588638034,0.09231388232743579,0.07207954486864743,0.1114701746084092,0.11322370180702077,0.10510583603301242,0.09467338157642634,0.09025508604881116,0.12050418258618205,0.09582342425767457
2018-02-13,0.09993666917903983,0.09185596917553267,0.07071230289861404,0.11099087954703174,0.11268380882203546,0.10778488934817325,0.09589168118622451,0.08724916415747744,0.12438389248877907,0.09851074319709188
2018-02-14,0.0959561752955775,0.09144593767878008,0.06931922265074619,0.1100709141467102,0.1108486581641575,0.10961474318840105,0.09789304920615095,0.08490720471475828,0.12963700435911774,0.10030709059560054
2018-02-15,0.09344614092289853,0.09048193961761279,0.06668285934624113,0.1119836677896265,0.10947052193146774,0.10896269443095631,0.10046507858235787,0.08286806304009324,0.13454319714333335,0.10109583719541256
2018-02-16,0.09064776838954022,0.08990743458935306,0.06398345243901979,0.11166289839323083,0.10612343731902593,0.10897616932266975,0.10411534611873395,0.08190649748394876,0.14106927722114584,0.10160771872333195
2018-02-20,0.08858756849336674,0.08872057909377118,0.05988821000577556,0.11252765209700336,0.10403271781471868,0.10840268295922616,0.10986751574107052,0.08201303127820979,0.1442505839215767,0.10170945859528117
2018-02-21,0.08686742263443706,0.0880568425831088,0.05625784439188697,0.11319320656531198,0.1024830692268367,0.10791189680161459,0.11611180604269104,0.08255119747908012,0.14551861030791494,0.10104810396711783
2018-02-22,0.08377565557890827,0.08773707622112413,0.05285775387251919,0.11459457796181795,0.10144562307569391,0.10159745347210611,0.1242966214847822,0.08478052407213686,0.1463945308904178,0.10252018337049353
2018-02-23,0.08276989602052671,0.08729395827579357,0.04999986632886504,0.11344600451353071,0.10025413142229483,0.09719056915461728,0.13182421380103265,0.08682587320550902,0.14536600083232112,0.10502948644550897
2018-02-26,0.08215408774505283,0.08700605172183369,0.04999970138965707,0.11395508751566384,0.09817707656026087,0.09192685285659918,0.13441206697990815,0.08930043266664611,0.14479044402777053,0.1082781985366076
2018-02-27,0.08196038572137473,0.0852804898105811,0.0499997045050636,0.11752099668914327,0.09716472209180335,0.08710198279807667,0.13690872448279076,0.08790984454110012,0.14459477796081804,0.11155837139924837
2018-02-28,0.08180186174760604,0.0835701444121894,0.04999974794174929,0.1219879846493889,0.09453718402662113,0.08279776702115955,0.1396194050811739,0.08596090417877614,0.14506758537087835,0.11465741557045725
2018-03-01,0.0821309559610925,0.08216478900365666,0.04999989157043739,0.12534540805422442,0.09412968193134837,0.07918336278748508,0.13697953620444883,0.08398778030686896,0.1464766816938726,0.11960191248656522
2018-03-02,0.08190953130120414,0.0788070752087917,0.049999582685115035,0.12980655740927635,0.09327505697766718,0.07463994417223778,0.13594288125159865,0.08129750020329979,0.1487424393526348,0.1255794314381745
2018-03-05,0.08073211687308818,0.07524563278720821,0.049999434662160586,0.13597016080638027,0.09195357913267749,0.07070140672148822,0.1325184804215325,0.080338326213946,0.1533000399763837,0.12924082240513496
2018-03-06,0.08151220146713711,0.07579702973098192,0.05061955437361592,0.11811039868230117,0.09160536079097889,0.06885517415079813,0.13483275178410625,0.0816815197179096,0.16209667564237504,0.13488933365979602
2018-03-07,0.08327800003380548,0.07682026266188319,0.051037851474064526,0.10219245019082424,0.09172778916968956,0.06666913812363712,0.13849760754223678,0.08413110131425186,0.1718798229102908,0.13376597657931655
2018-03-08,0.08431486328486494,0.07578419752118767,0.05013916184099561,0.09285706085923366,0.08962489740763789,0.0626142081335321,0.14535580771429524,0.0832809050187343,0.18562892566614253,0.130399972553376
2018-03-09,0.086813609704281,0.07546374163594653,0.050048712572875624,0.08544943055390906,0.08838956566879556,0.060006639135878746,0.1495322145831346,0.08196603284969108,0.19474230629392966,0.1275877470015582
2018-03-12,0.0881634953583055,0.0748742618640357,0.051047197049230594,0.07821050195447371,0.08819150775472856,0.057330273036837014,0.15128946830836457,0.08195257752196704,0.20049484298117026,0.128445874170887
2018-03-13,0.09169686826885862,0.07532295808497061,0.052358280386015546,0.07345109370165638,0.0877729229788209,0.05518529059310431,0.15430876088645437,0.08301733400176996,0.19775528514938318,0.12913120594896624
2018-03-14,0.10053145437721465,0.07782964564416495,0.056235301832380964,0.07237886190789947,0.08827432872215646,0.055284471983474644,0.1512392516241778,0.08849556643313808,0.18592250832001625,0.1238086091553768
2018-03-15,0.11137028969543826,0.0823272169092821,0.061811836473621755,0.0718970559820844,0.08905774840158562,0.05591105377376636,0.1482028744262562,0.09642581637836294,0.1628510665788307,0.12014504138077164
2018-03-16,0.120669338570773,0.08305124668556846,0.06468122761843932,0.07091255066470589,0.08641492558297553,0.055015690091335404,0.1441499075678553,0.10332219945084119,0.15323475549447618,0.11854815827302964
