Date,VRP
2014-07-31,0.06356401783821619
2014-08-01,0.06437324597976578
2014-08-04,0.043772065658930354
2014-08-05,0.05754890963338205
2014-08-06,0.0544082711260917
2014-08-07,0.05830069900645439
2014-08-08,0.04093805564744217
2014-08-11,0.02513760698503431
2014-08-12,0.025889204742902114
2014-08-13,0.010592676840742707
2014-08-14,0.0057174664937761355
2014-08-15,0.020329522072752487
2014-08-18,0.013887973605999596
2014-08-19,0.011685528160363792
2014-08-20,0.008431535379515867
2014-08-21,0.007922913982106677
2014-08-22,0.0047885974573089185
2014-08-25,0.0074003851464340825
2014-08-26,0.006684420455872739
2014-08-27,0.00970248988505723
2014-08-28,0.012097121088212426
2014-08-29,0.04320793451289491
2014-09-02,0.04614291168555659
2014-09-03,0.04924895217603459
2014-09-04,0.06303073711427341
2014-09-05,0.057017544294895195
2014-09-08,0.06600248311616694
2014-09-09,0.07684702986287831
2014-09-10,0.07030426402117831
2014-09-11,0.07052342893817928
2014-09-12,0.07320437112800854
2014-09-15,0.08236796657105719
2014-09-16,0.0640923729480161
2014-09-17,0.06933531750036541
2014-09-18,0.06323676437486576
2014-09-19,0.06427135056077013
2014-09-22,0.07348878516785246
2014-09-23,0.08304696122631372
2014-09-24,0.06288747363595061
2014-09-25,0.06678265290127484
2014-09-26,0.05320257204332994
2014-09-29,0.06431118397881112
2014-09-30,0.06830788906711625
2014-10-01,0.06276946989060334
2014-10-02,0.05717969828477573
2014-10-03,0.032580671067247505
2014-10-06,0.04360877918841852
2014-10-07,0.0506625309742363
2014-10-08,0.014789712615824457
2014-10-09,0.03510607982636435
2014-10-10,0.05647728205472055
2014-10-13,0.08308725413168003
2014-10-14,0.0640385811455984
2014-10-15,0.09205669891064255
2014-10-16,0.0917282528114931
2014-10-17,0.052276396710917716
2014-10-20,0.013019749494382005
2014-10-21,-0.02648618991200488
2014-10-22,-0.009125809623496961
2014-10-23,-0.025841682631404073
2014-10-24,-0.023713943162827433
2014-10-27,-0.02179965713980514
2014-10-28,-0.04305192000803279
2014-10-29,-0.03523464480992969
2014-10-30,-0.03581536828812129
2014-10-31,-0.04423912315692449
2014-11-03,-0.03412289003880692
2014-11-04,-0.032818639979260406
2014-11-05,-0.030468185536916825
2014-11-06,-0.026583305436130744
2014-11-07,-0.01059807412036809
2014-11-10,-0.005622777932557915
2014-11-11,0.01753005400662351
2014-11-12,0.017627789670606048
2014-11-13,0.03328348109604476
2014-11-14,0.028530876401861124
2014-11-17,0.03938133377858849
2014-11-18,0.03982089166450431
2014-11-19,0.05797439070903715
2014-11-20,0.06243283348664437
2014-11-21,0.06309191554146766
2014-11-24,0.06220824449599012
2014-11-25,0.058772902357916434
2014-11-26,0.06679873487181849
2014-11-28,0.07832567615283599
2014-12-01,0.08089081172562088
2014-12-02,0.0770233818496837
2014-12-03,0.07296075375085515
2014-12-04,0.07313595034710473
2014-12-05,0.07066879690440686
2014-12-08,0.08662407092702035
2014-12-09,0.09794308113081243
2014-12-10,0.10480706619094747
2014-12-11,0.11864374036730128
2014-12-12,0.11118415834219904
2014-12-15,0.10293634003126782
2014-12-16,0.13147068848345744
2014-12-17,0.06585162057230143
2014-12-18,0.015143373892464174
2014-12-19,0.011362232677248507
2014-12-22,-0.0013893332353593912
2014-12-23,-0.0050404819201400886
2014-12-24,-0.009092658169677359
2014-12-26,-0.008043932274125032
2014-12-29,-0.002223328730070223
2014-12-30,0.005587917919428198
2014-12-31,0.03586848310376792
2015-01-02,0.02342485963219293
2015-01-05,0.03316170121340181
2015-01-06,0.043044828438690425
2015-01-07,0.019113686139445363
2015-01-08,-0.014053662766460001
2015-01-09,-0.010987640439956842
2015-01-12,0.016510110709800213
2015-01-13,0.026655356774683503
2015-01-14,0.04423394346051332
2015-01-15,0.051618774527077
2015-01-16,0.034346350664705455
2015-01-20,0.037938701936240854
2015-01-21,0.05071166160360699
2015-01-22,0.016586356728695656
2015-01-23,0.018822941034530027
2015-01-26,0.007230614432887195
2015-01-27,0.017658945690036204
2015-01-28,0.0450752320411415
2015-01-29,0.023577207674390283
2015-01-30,0.041222585982409465
2015-02-02,0.0211942890720295
2015-02-03,-0.007678075810978291
2015-02-04,0.014097145693381774
2015-02-05,-0.000281985717555
2015-02-06,0.007534167854093804
2015-02-09,0.03153419569931007
2015-02-10,0.016793151748060148
2015-02-11,0.017289235994417618
2015-02-12,-0.0011930396534501342
2015-02-13,-0.0055539579867271704
2015-02-17,0.011131763811348505
2015-02-18,0.012792024234205557
2015-02-19,0.010832425707001964
2015-02-20,0.00048407118715734776
2015-02-23,0.011528382576118074
2015-02-24,0.004889405746863501
2015-02-25,0.0062381259317859095
2015-02-26,0.017745917551545795
2015-02-27,0.024115556814942637
2015-03-02,0.023284274522431786
2015-03-03,0.043412906138565674
2015-03-04,0.051881874815974324
2015-03-05,0.0623296918771207
2015-03-06,0.058828143150045004
2015-03-09,0.06318752062128448
2015-03-10,0.06105926259120831
