Date,Equal_Weighted,Historical_Risk_Parity,Method_A_XGBoost,Method_B_XGBoost,Method_C_XGBoost,Method_A_ARMA
2018-01-02,1.0096765264018641,1.0086014019848564,,,,
2018-01-03,1.0097740752385649,1.010583335724887,,,,
2018-01-04,1.0105627224168117,1.0118733166263554,,,,
2018-01-05,1.0202442620541594,1.0222043808077441,,,,
2018-01-08,1.0217490906576907,1.0241225765359774,1.0003361714205066,1.0000757743455542,1.0023523041995777,0.9986316582538379
2018-01-09,1.02164729825465,1.0242900381291986,0.9993104896418779,0.9992848572311567,1.0001400546407084,0.999283910977533
2018-01-10,1.0194216294224394,1.0230070404758824,0.9969076963738887,0.9965741266718491,0.9974767913545596,0.9974883706474152
2018-01-11,1.0293559335956064,1.031789553930692,1.0067197625240372,1.0085507783115801,1.0063540311477996,1.006706195207633
2018-01-12,1.0394764669099688,1.0429041559200853,1.0157721557894999,1.01835844153987,1.0162299786238993,1.0172578192559807
2018-01-16,1.0420660976199891,1.0481329329820641,1.015915970939328,1.0177648477293906,1.0138649738278733,1.0241034055850806
2018-01-17,1.0580267697036472,1.0630619639807204,1.0308183454051862,1.0358453380499744,1.0315723158238206,1.0391011209115228
2018-01-18,1.058144173943458,1.06505004699879,1.0323046688598665,1.0358206900944824,1.0321660538080806,1.0401575536089827
2018-01-19,1.065560775592225,1.073111218510251,1.0391929098134915,1.041759280233522,1.0404026315119175,1.0453145039897713
2018-01-22,1.0743079552393153,1.0840572891463705,1.0483085008200228,1.049355285987802,1.0459831607956704,1.0537993530001004
2018-01-23,1.0758919477491677,1.0852937700509373,1.0496821347057264,1.0505833183582962,1.0480269655780377,1.055648708926217
2018-01-24,1.0756925349894282,1.0854439051545142,1.0484641085083786,1.0491855978620521,1.047453682144745,1.0549936034692395
2018-01-25,1.0769974642985076,1.0858746529960694,1.048544221031436,1.0489063879907528,1.0498548897075883,1.0562097874687124
2018-01-26,1.099807027583529,1.1067547662218233,1.0739117047535398,1.0727920877552979,1.0729530808116177,1.076603983498829
2018-01-29,1.0953278676445337,1.1025923816438554,1.0681718539030025,1.0664263947374946,1.0678060764927477,1.0718085403112194
2018-01-30,1.0749965778848374,1.0819293509646437,1.0479663822278549,1.045058664340215,1.0483422772360613,1.0503947827728402
2018-01-31,1.0758561028412297,1.0826910671431051,1.0552792741326884,1.0499725612713864,1.0590712404260758,1.0501700647977597
2018-02-01,1.0732091301612985,1.0794376908355838,1.054968603871885,1.047459200304042,1.0576338135739383,1.0481063598751243
2018-02-02,1.0522116579099494,1.0584358840085983,1.0321696269618617,1.0233332042526868,1.0368041478494967,1.0264410911675637
2018-02-05,1.004255971782597,1.0108803818439727,0.9843705802638261,0.9772908764464588,0.9877077549245964,0.9798334656266602
2018-02-06,1.0198905870460262,1.0255318714544004,1.0008427778685827,0.9955199227478295,1.0061614774816794,0.9956851991039507
2018-02-07,1.026017096375699,1.0318657569687208,1.0062618701723534,1.0007452065066784,1.0156215462193812,1.0007682899491237
2018-02-08,0.9866473664689559,0.9920047838565604,0.965423973148165,0.9595671151519217,0.9737395529303774,0.9625126840982909
2018-02-09,1.00250066248584,1.007316412754601,0.982586893529336,0.97789238201611,0.9914507808301571,0.9776649327972442
2018-02-12,1.01508531367855,1.018746990019692,0.9959234795054746,0.9919771884621272,1.0060357232246542,0.9905979689181182
2018-02-13,1.0139457429383978,1.0182074889498713,0.9942138442239643,0.9899760718425102,1.0057767493781398,0.9887642882660213
2018-02-14,1.024688427550032,1.0280304808147431,1.0057141084691208,1.001076398936111,1.0162699580741092,0.9984567121825635
2018-02-15,1.0388717595755133,1.0423817663386645,1.0191366367193913,1.0142928666030846,1.032575137549649,1.0119018595074856
2018-02-16,1.0415441419759766,1.0461842056403314,1.0209241614066302,1.0167634655635462,1.0347014537525074,1.0141530790851316
2018-02-20,1.0247095345313662,1.0245921641387066,1.0072027080372234,1.0009134271483444,1.0190005392537989,1.0001725399782952
2018-02-21,1.0146281971952795,1.014640258498546,0.9970600059328205,0.9914132708963654,1.0104298566662995,0.9906560715310148
2018-02-22,1.017049766981964,1.0165404967114697,1.0005730386216212,0.993872000474501,1.01398288552641,0.993133307447168
2018-02-23,1.032680972312762,1.0313189280606165,1.017301151824391,1.0100446260177598,1.0271830292698925,1.0088829901004925
2018-02-26,1.050228906354914,1.0490156392737777,1.0349554442435904,1.0285347607493278,1.0452166402962577,1.0265579174071036
2018-02-27,1.0400006637258516,1.0370180699337281,1.0241164218528145,1.0202678022250582,1.0348077719857123,1.017554348382914
2018-02-28,1.027452387032761,1.0247781092413317,1.0111407828107617,1.0074093345434312,1.0227203589060427,1.0050902472956302
2018-03-01,1.0200921377544727,1.0185333551274602,1.0019495353968353,0.9987745318991904,1.0112128699507443,0.9976898215193034
2018-03-02,1.0253357862855164,1.024470704517539,1.0039491901237863,1.003735295828616,1.0139268485558801,1.002934602097938
2018-03-05,1.0365980299149424,1.0351914363931924,1.0164997200607566,1.0143831128498884,1.0262981526326096,1.0146904667072212
2018-03-06,1.0381630933085086,1.0368500696623562,1.0154273013759774,1.0158734773356466,1.0275278789577103,1.0155262110820478
2018-03-07,1.035674744876156,1.0349042372419164,1.0103011033270506,1.0141994338572395,1.0242221329661827,1.013402010572928
2018-03-08,1.0376514689336351,1.036481630318374,1.014047919118298,1.0158246974229295,1.028884506710643,1.0152691056912924
2018-03-09,1.052812981413964,1.0517087779249368,1.0298187473888176,1.0309245396202218,1.0440517922545867,1.0309127547023003
2018-03-12,1.045276263066735,1.0448014672345713,1.0239052269633688,1.0222632199785648,1.0342063588978359,1.0196762706875413
2018-03-13,1.0449496813800057,1.0446874436194449,1.022277907016079,1.0217278080463053,1.0304368851283026,1.0167252870710022
2018-03-14,1.0407960322822614,1.041178350306222,1.0179730298982284,1.0164622159056043,1.0259742179088793,1.0092541613616801
2018-03-15,1.0405870089105282,1.0417217413295827,1.0177200939065474,1.0162246173495626,1.0227011971357751,1.0090901311631348
2018-03-16,1.0411818595328992,1.0412810392106817,1.0201131853650809,1.0159018568357765,1.0213464671108037,1.0089567864554299
2018-03-19,1.0294792458762156,1.0294682698554327,1.0076490900678248,1.0056520695647542,1.0125391707121187,1.0002018591680415
2018-03-20,1.0349176236756368,1.0338694053831359,1.0122410477604251,1.0127235174504978,1.0196266648504106,1.0076041482572342
2018-03-21,1.030963476144575,1.028730740401791,1.0090830094588161,1.0088594189816649,1.0117837467966415,1.004075247844072
2018-03-22,1.005301273942683,1.00428798592399,0.9843241893942568,0.9807102210340946,0.9826303518900975,0.9737000082039673
2018-03-23,0.9898401812602429,0.988831751065445,0.9687390753326026,0.9667799039231663,0.9659717061939201,0.9618655722067815
2018-03-26,1.0181502959915574,1.0147363952923867,0.9966709837645132,0.9958201257789944,0.999677478043496,0.9890467683612346
2018-03-27,1.0040319892661287,1.003232623232436,0.9820042161592638,0.9809243899089335,0.9770078774414243,0.9733920767193026
2018-03-28,1.0022179071301,1.0050238953265538,0.979775982560499,0.9761024280320402,0.9699840386867538,0.9701523804795241
2018-03-29,1.0138072113359806,1.0126427694775268,0.990586273481938,0.9888699161246522,0.9916462875751927,0.9835938616677802
2018-04-02,0.9913135795432464,0.991505675937381,0.9699507623761003,0.9681189741852492,0.9684801063173687,0.963616255016887
2018-04-03,1.0112240374920032,1.010623798394237,0.9896705740257141,0.9897775998319709,0.9872281505525319,0.9841943524321204
2018-04-04,1.0229013704138599,1.0219521273826926,1.0013000663958769,1.0000775658471865,0.9971703618478507,0.9928888306990725
