Date,CRM_B0,CRM_B1,CRM_B2,VZ_B0,VZ_B1,VZ_B2,WMT_B0,WMT_B1,WMT_B2,INTC_B0,INTC_B1,INTC_B2,UNH_B0,UNH_B1,UNH_B2,MRK_B0,MRK_B1,MRK_B2,BA_B0,BA_B1,BA_B2,NKE_B0,NKE_B1,NKE_B2,CVX_B0,CVX_B1,CVX_B2,AMGN_B0,AMGN_B1,AMGN_B2
2014-12-30,0.19921694139629237,0.023368618731469868,0.45638243619374363,0.02908979322163652,0.021962415743708084,0.5022910979359763,0.06663251220273776,-0.01367429768725705,0.4211725983635231,0.2347341451165806,-0.11467140163179945,0.25467908424160063,0.08507739560734674,0.003025260022446192,0.48948093344725463,0.17950729601498377,0.05983923073028061,-0.0015537777950975305,0.12268711408824863,-0.06218269326332013,0.37782766499458936,0.21412923588746255,-0.08319615309317042,0.0576751114108413,0.021417550608759224,0.10046408046870435,0.8337385780774977,0.28401047861514805,0.17363810810769978,-0.298968394881421
2014-12-31,0.18265042581449112,-0.01907192555793096,0.578545115861066,0.04079436037129281,0.041459124405085555,0.4300953690258122,0.09184501782395038,-0.007482637346770766,0.31039773288346206,0.24344598656943522,-0.11970772110929645,0.20954988941592054,0.1277896082094291,0.024724450120918014,0.28846435972802437,0.11675817049375851,0.033220648284467885,0.3026274449335429,0.14512745646593186,-0.03058412746916944,0.24306642612114895,0.23981353464270644,-0.09682426595624397,-0.0384641259696132,-0.021352069260951175,0.07394324225741374,1.048703610699809,0.18586429928818032,0.1165308944948805,0.19179931285434104
2015-01-02,0.19920271379005877,-0.09119459081008338,0.5916187083774673,0.05554064893168014,0.02226839132531454,0.3910033552224956,0.09312249470264149,-0.0149597640220004,0.31438046855713636,0.2698434501524894,-0.14008754650873848,0.10534388637333851,0.13053979736993004,-0.007511564210675285,0.3169777155295009,0.12276009026794515,0.03061762724035713,0.280836910899432,0.1301155886875786,-0.0381538583111746,0.3154279314423439,0.25258690853674065,-0.0835235850523723,-0.10802205784727299,0.0012752226059555808,0.039494499748946775,0.9910770852515031,0.1594312216809346,0.08204807543673252,0.34496434253056113
2015-01-05,0.18694386647579372,-0.13473658210225045,0.6956534731551656,0.04656279215995629,0.009930164113613109,0.44617939343720125,0.08606982738740233,-0.04679227418349799,0.38335954719922744,0.25318804002873,-0.1625697597089682,0.20771643871620882,0.14332895958844952,-0.03372670508921251,0.3036555992455059,0.1421579546223229,0.03602403134062501,0.19156168692324435,0.12632385935950347,-0.033389231706510106,0.3233360136368993,0.2525238891630304,-0.1030908119969238,-0.072990961735336,0.11357658049126315,0.15892191960182003,0.39826342702407896,0.10792114718670004,0.03406721244461865,0.6245336246105665
2015-01-06,0.17701065666564042,-0.1161463331963169,0.705555504042485,0.0710585011087654,0.03799560826305389,0.30884240854525336,0.10446041749998393,-0.038406728498991356,0.2940167133353237,0.25993462341922546,-0.1478246942422456,0.17067236276926578,0.14585823268843726,-0.03734674052441149,0.2953485834536067,0.1926168181640182,0.1458776393967116,-0.11298831394820838,0.10550992176259164,-0.027655572970134292,0.4061621310087854,0.22374912281388692,-0.14062259043529143,0.09489484268114547,0.1174953580533977,0.11490742862519793,0.4369995869723397,0.15435855862148892,0.07840890592136192,0.39838162764583335
2015-01-07,0.18054677004887096,-0.11915043930074704,0.6862968341544115,0.07278863556531773,0.03282081282032431,0.30861595212134685,0.15671568187785628,0.03686035884637873,-0.0006047119180267446,0.33003344670820867,-0.09967032625329132,-0.1843026968096236,0.1598708689285182,-0.02027522950050994,0.21283897653468173,0.18233845696359202,0.15284448869254744,-0.06802739459724096,0.16037225306520345,0.008851795195585335,0.12629347649840275,0.29892364214472134,-0.06190339736008994,-0.3160244974764849,0.12107606051554455,0.11446395787890475,0.4162603770999972,0.2459361029967506,0.17333719233456124,-0.08777213356619706
2015-01-08,0.2960182540418624,-0.04256081521974647,0.10567665818259915,0.0861698805140754,0.08623662372474762,0.19740541197298198,0.13573111236956534,0.049894715285493045,0.08566031128353224,0.33826511601106324,-0.06960888844897793,-0.25474674445403717,0.23251376091172882,0.15936865187037622,-0.267231804905249,0.10281158993362449,0.07908406062414117,0.370257900719974,0.17022871259026437,0.021389941943552874,0.07637435473385225,0.32322828675584986,-0.010046943539011493,-0.47233803999473145,0.1843149107161152,0.1342895969413451,0.12857639698923576,0.2521660808536548,0.1298392803188144,-0.06529508016726557
2015-01-09,0.2985289688578263,-0.041919370661483935,0.09225637851876685,0.13912278741899395,0.06106633832117835,-0.010330889469963004,0.16404113528569603,0.07896514543945639,-0.06555254499594414,0.34059803368867886,-0.07007794343053511,-0.26880921639623295,0.24818570814927957,0.16373613703881132,-0.3491327496839979,0.15711822244988227,0.08922106679310529,0.12027136011708887,0.17124084231347927,0.020358834453915835,0.06810751022289449,0.3210523675953548,-0.00474048059260498,-0.4707434238924298,0.18292691301962902,0.15294260208983465,0.11203199314372328,0.25440681589297975,0.12104092034119095,-0.06235642488717002
2015-01-12,0.28843492215939315,-0.05515701639248174,0.1377773539331014,0.13539928722834624,0.04972189515545787,0.020880827261865572,0.15627008180731053,0.07078787467312521,-0.022017345546606858,0.3357325573373692,-0.07472798130300963,-0.27030873631815977,0.24051884804099075,0.15766970802704178,-0.307136614063932,0.18585207727067246,0.11017013456723662,-0.03075173443821464,0.2063364974042343,-0.015786039082029173,-0.04383061473037542,0.29786678016061346,-0.022285141518128788,-0.3512813021241245,0.12672740171444236,0.12788752008788917,0.3937547143711367,0.26307664351709004,0.1031341557215253,-0.08137858534839756
2015-01-13,0.2648496692452606,-0.06096015473561094,0.23667589703692765,0.13185788846789326,0.04633723217674793,0.038462986875754494,0.174113032299673,0.08684656333494836,-0.11713703831534032,0.2933739673240154,-0.10159035198602122,-0.05746264178294104,0.23692449735140503,0.15629855648470897,-0.29508619185702967,0.13728875393010095,0.08667134231732847,0.18404638904262388,0.1850467325396575,-0.03569073926491114,0.0703090744177087,0.3024187885577834,-0.017018864085509698,-0.38078351985950004,0.12889196153447965,0.1334451801196955,0.38089955178524887,0.20297344060572833,0.07392374109684656,0.202904752704279
