Date,AMGN_vol_5,BA_vol_5,CRM_vol_5,CVX_vol_5,INTC_vol_5,MRK_vol_5,NKE_vol_5,UNH_vol_5,VZ_vol_5,WMT_vol_5,AMGN_vol_10,BA_vol_10,CRM_vol_10,CVX_vol_10,INTC_vol_10,MRK_vol_10,NKE_vol_10,UNH_vol_10,VZ_vol_10,WMT_vol_10,AMGN_vol_21,BA_vol_21,CRM_vol_21,CVX_vol_21,INTC_vol_21,MRK_vol_21,NKE_vol_21,UNH_vol_21,VZ_vol_21,WMT_vol_21,AMGN_vol_42,BA_vol_42,CRM_vol_42,CVX_vol_42,INTC_vol_42,MRK_vol_42,NKE_vol_42,UNH_vol_42,VZ_vol_42,WMT_vol_42,AMGN_vol_63,BA_vol_63,CRM_vol_63,CVX_vol_63,INTC_vol_63,MRK_vol_63,NKE_vol_63,UNH_vol_63,VZ_vol_63,WMT_vol_63,AMGN_vol_126,BA_vol_126,CRM_vol_126,CVX_vol_126,INTC_vol_126,MRK_vol_126,NKE_vol_126,UNH_vol_126,VZ_vol_126,WMT_vol_126
2014-12-30,0.41024932876422254,0.1047157462861865,0.17060725930657347,0.13650330371231487,0.12320606323340551,0.23268665292261456,0.0641269074380524,0.04852231066009771,0.07444971929429511,0.059608922687929784,0.3943090152452311,0.10296347553428571,0.4066652766823876,0.28409786170010604,0.23462499336902948,0.23131066444048828,0.2485273001669126,0.2684545747266974,0.12927547887995713,0.16796039372614446,0.3218072670656771,0.21647923615124906,0.33216040279767517,0.32089940690060376,0.19086290416882495,0.22289335693125387,0.19590926580261644,0.21831171815446823,0.2066917792491361,0.14923879597940912,0.2555144712623582,0.17504420960321454,0.30896418956095034,0.29305965554328967,0.2490979020266136,0.18367244449399653,0.1576521812270297,0.189918332693439,0.16887491402148455,0.17893055111176948,0.2927153040117396,0.21221026628457393,0.32499604381193015,0.27483147999645896,0.2775035469278251,0.22691447216655464,0.17389324547137902,0.21851132152051986,0.16194295690695282,0.17953705877553205,0.2526125459315815,0.18578099726073596,0.30735100812200367,0.21601266630968713,0.25783810056140555,0.1842581307743025,0.22998803663278486,0.1936208126607787,0.14170556513387897,0.14770645211805303
2014-12-31,0.24283520069927203,0.1445047341725169,0.13387141676499206,0.05298215369242769,0.11503439385014613,0.12983414076540303,0.09425698193698162,0.13114128168431047,0.09562689667172959,0.09562918736618313,0.396900227967731,0.1354297214161301,0.3575640564575376,0.3009167552466608,0.23913174669944665,0.24505672130603484,0.21398798746804581,0.24673762328251742,0.1518917409104799,0.16501743637157018,0.3213058941473585,0.21597495270364295,0.3289110073871473,0.310208157657288,0.19549276372343016,0.22695096811192628,0.18962226229578133,0.22820880601549948,0.2069713318879834,0.1441085427348359,0.2529617882063311,0.1789602876106839,0.3072927588132145,0.29363909714763475,0.2286346418625749,0.18147162046350243,0.15705426722250496,0.1950089761902805,0.17065777358294146,0.1819835155763161,0.2921407187615733,0.2095798666115936,0.3237012527050694,0.2739216115939969,0.2742609358274231,0.22806348977789523,0.17085982743582487,0.2189635091261096,0.16205745089259474,0.18082810661714097,0.2530141060569932,0.18679897125942696,0.30728450941728375,0.21624826449391052,0.25862617143611144,0.1850052301830705,0.230281271811207,0.19534059754755415,0.1423741577788173,0.14856296543307843
2015-01-02,0.19087942355910986,0.11938127267606978,0.13525690713293317,0.06920656408479643,0.12133131998186543,0.13844585226941888,0.12121612260595825,0.1303005755751063,0.10822351257644235,0.09621139774989383,0.3728468484167268,0.13686707814133936,0.23744162834904742,0.24349603536923559,0.2199250408608657,0.23531967197158862,0.21669738159214738,0.1908710968732281,0.11926869469168988,0.15179201762253308,0.3145228921462369,0.2159864850297701,0.32879332735942773,0.30185270474148435,0.19043872554890515,0.22820007011133933,0.19273300179408215,0.2273423130864454,0.20046700031397874,0.14392599540524612,0.2529668960978117,0.17800639793619777,0.2928833130214459,0.2876464851568218,0.2051402016402644,0.18026654376803555,0.1600340267246041,0.19368962589479585,0.1698633814427109,0.1816336504231899,0.29076685984240286,0.20936605104438522,0.3236905632004633,0.2739245234642969,0.2725483731734829,0.22848224830744293,0.16949924606184363,0.21922268351678495,0.16224948060355157,0.18085956146711762,0.2523782055603014,0.18655485715896492,0.30726722929011435,0.21601840114861698,0.25857107927447853,0.18524693847377327,0.23086007355504623,0.1950592497226851,0.14248302759188108,0.14856548841396153
2015-01-05,0.11165866969724468,0.11415832894489591,0.12240003350059205,0.2874978544242941,0.095840186879318,0.17596007431486727,0.12679055156897212,0.15514275209487327,0.09234470644054561,0.07516061190632202,0.32773965290649765,0.14686378531407357,0.15429320055189222,0.3062908469485976,0.19207492875571927,0.21424167587437015,0.17365159682772582,0.12520034919955492,0.10703752751970505,0.11408711055394215,0.3158098054595157,0.21697571876282004,0.33422822130955715,0.33247200787713277,0.19320135152702098,0.23588328128245656,0.19803184169486468,0.229831201280481,0.20106254411877914,0.13828290695493428,0.25445244353002977,0.1779532128586026,0.295449058679395,0.29716667764477733,0.2068130150697112,0.17916714421936,0.16478895960009377,0.19859169296690884,0.17027904344279005,0.1820782968550203,0.2912051910827351,0.20715045732582735,0.3196695712439718,0.2852663202503527,0.27227417290948075,0.22761607245961152,0.1717196598195574,0.22157747726163207,0.1619128395062337,0.17939484595086325,0.25080735587120145,0.1867231300486387,0.30638906569729435,0.22312503900074493,0.25910233896850565,0.18571941382263768,0.2322230246570806,0.19556892093111317,0.14292911284360205,0.14860567823142196
2015-01-06,0.2089588321360767,0.09120101346451284,0.13322514795982998,0.28522984673507906,0.12052725709788766,0.3169133542688454,0.07657963631642097,0.155386422427221,0.14199434406948935,0.10608991518386933,0.33787150427076834,0.16317001980610185,0.15753069171122255,0.23225139892057448,0.19450565159500444,0.2913713060871605,0.1367117246769378,0.12162353773381002,0.12067834525598431,0.1089322983481973,0.3318372137263324,0.2198314833948468,0.33881713174693734,0.3304179434918786,0.20148873925411848,0.273307964283877,0.1962351369758485,0.22673266671583445,0.20544080515082802,0.1401871551382272,0.2660619449625643,0.1805264602489035,0.2975860360711703,0.29599928903394374,0.21207222771557616,0.20198611567408437,0.16488483444590513,0.19874149474284522,0.172762265228347,0.18080420431602517,0.2983128487584349,0.20859003968516618,0.3213808085132059,0.28512881355570324,0.27511479163632335,0.24028854875310085,0.17035188009970753,0.2201400817735884,0.16254241677928533,0.17976793915382316,0.2555895857887494,0.18572588319396272,0.30095891970146355,0.22308674092905334,0.2603473040624976,0.19331616930810167,0.23160755149051532,0.19550135748915473,0.14309351500872908,0.14861289858483548
2015-01-07,0.39152089757435804,0.18829384653452522,0.13125876742726067,0.287055683308301,0.2509982920137615,0.3117384882268841,0.2276898184696117,0.18179336718814562,0.1445910400696423,0.22154579923013232,0.37836093897014145,0.16258259407904205,0.1554853313111266,0.23195755112222088,0.1869048292755747,0.2989742999456638,0.16591662595451004,0.1333012491416724,0.10942239821898199,0.1552480993981134,0.35129409209106055,0.22583389036635668,0.33900969595824276,0.3280784511943864,0.2158391268650006,0.2814174534907192,0.2115949170411247,0.22843787275509872,0.206022192329132,0.16171068067385108,0.2789198653135335,0.18312454834016711,0.291537662899379,0.29333964836368404,0.2132766697198049,0.20811720666465106,0.17144610878195377,0.19914210007018268,0.1731058715985128,0.1895963568454003,0.3040663527670032,0.20503835487108849,0.31785721448584064,0.2831701527283834,0.27508796955184944,0.2405990904410589,0.17255092128807287,0.21904228290327826,0.16229337780715153,0.18616313025688594,0.25952972627150195,0.1869762199789754,0.30093866145306086,0.2223492377726164,0.26180073585977987,0.1953483928728257,0.23258733688531708,0.19552929676327474,0.14329998355945747,0.15256640237460534
2015-01-08,0.3888479534532557,0.2091936592991093,0.30067816321453783,0.3670827460706268,0.2786828718234654,0.1845158464976977,0.2923524941867536,0.38235857999478445,0.1935439485620377,0.20193247567428688,0.3077198468347126,0.17117888647316526,0.2197956047629402,0.24725806601353767,0.21286745560408643,0.2361009497490071,0.2051698905409669,0.2833612168789443,0.1581094304863718,0.1806746928354589,0.34562811611599376,0.22873949036634247,0.32021899524962233,0.31020666329715596,0.2235385863785946,0.2888418359878231,0.221525777116919,0.2794062657578234,0.21965000017621827,0.1737137664841639,0.27815825201388367,0.18751378447326983,0.2968305996687509,0.2973562658644133,0.2172528319011579,0.21258021002376976,0.18020741231654427,0.22820351480186168,0.18202946862839695,0.19437194022119925,0.2993589190832814,0.20623341171594503,0.3212053087974019,0.2849684458485816,0.27356539782691613,0.23695825461788475,0.17730117050609037,0.23042108452081025,0.16521679212305262,0.18886454655452822,0.25944692368898375,0.18856294313889743,0.30348590622677396,0.22468153694546128,0.2624939595296183,0.19726663489815274,0.23328223258465652,0.20516807176120241,0.14488934844756074,0.15501816178503156
2015-01-09,0.3905488528200149,0.21113264283541375,0.30224515779374106,0.378035694583548,0.27868418387694777,0.24562700328011916,0.2905294825402016,0.39531060928523876,0.21457050116055656,0.25528584382127967,0.29202318422796075,0.16585010674723633,0.22075299544170593,0.26165085614742306,0.213513363352726,0.24559171494888937,0.21343596762969483,0.28861545335271116,0.16457616048149531,0.1971872535624791,0.345367432047305,0.2281240199930644,0.3210089701571659,0.3191745061015946,0.22190032447756666,0.265904622267457,0.22351951942988735,0.28029362081524023,0.16742817400617133,0.178043540891581,0.27972593506200893,0.1876003898830815,0.29451166558954955,0.300666972237871,0.21606080053325036,0.21312304125091117,0.18106137245555695,0.21793321295261486,0.18012997214870777,0.19710808530231697,0.29806292413473073,0.20274311826124972,0.3203955771671572,0.28170265858437177,0.2704268637798185,0.23468663402168863,0.1746580908033351,0.22723011487127934,0.1618647580225504,0.190651900591975,0.2601913263866186,0.18807286840685294,0.3036789479624479,0.22557939514858594,0.26248384923102647,0.19736189062587303,0.23391074511357515,0.20550965215091221,0.14405782023079725,0.15612184952394936
2015-01-12,0.3889781133587681,0.20632371938935962,0.2782621118751022,0.286968026424702,0.2611967376909064,0.2932381593586536,0.24772727372706627,0.37793655613086075,0.19705513084491857,0.23767061492582564,0.2724686199940487,0.16706463142381664,0.21172663551260498,0.2743209525189589,0.21208921126499677,0.2535760441507253,0.21088891667705129,0.29519801168014503,0.16745664973663585,0.1980320741360722,0.33837390002208195,0.17725886261362736,0.3172876288567687,0.3204225210149732,0.21771708397341533,0.26669964675666163,0.22213812174445557,0.274241015374683,0.1577875583427603,0.17465900692175443,0.27443824568310393,0.18825779488809943,0.2937422891013404,0.3042861814190346,0.2146943040435218,0.21200245175443566,0.17863817077790714,0.21916786627602478,0.1813152486639911,0.19695701863373885,0.29798988292303635,0.20180694539599878,0.3090069452169656,0.284684673967021,0.24777607284691902,0.23398903920514377,0.17470948811181075,0.22904577481583654,0.16252681077547468,0.19082761517715985,0.25989407545207865,0.1875932187763737,0.3036145028690647,0.22719075405974448,0.2624562787169457,0.19734695471501365,0.23375378723302992,0.20524188300684953,0.14427630218652338,0.15621205018962017
2015-01-13,0.2927611656197849,0.1629351243588696,0.24325494734181063,0.2955759289270864,0.18942500073510452,0.2100445868931543,0.25680634946318476,0.3707987162407946,0.1910288815351352,0.2705866281532216,0.27268147922534525,0.16507117879233174,0.21621478886785206,0.2745381605871694,0.2081597157024989,0.254450640263844,0.21150530986991806,0.29594543170851545,0.16432520853112859,0.20391906947449798,0.3377146401841414,0.1712820886937083,0.3173606081342032,0.3254527399402555,0.21622373161601124,0.26638323961416427,0.2235687521884865,0.27397789477393353,0.15756583543205774,0.1776514417956261,0.27472038480722977,0.18792836684257425,0.29407131591972574,0.3056055187228052,0.21503918494100213,0.21120665077183737,0.18003993983439515,0.2184175257043422,0.18152141458065066,0.19771366631363593,0.2921491343933476,0.2007984189337514,0.3032464133771579,0.28458201174720527,0.2458152013445764,0.21550879113173574,0.17005066255837756,0.22544772838342161,0.16096966809084354,0.19048891980716376,0.2586292252717626,0.18755288755441965,0.3024870032844299,0.22811005536157306,0.26239268273015115,0.19723255187202063,0.23423210960654295,0.2051182607515402,0.14421169554523378,0.15672531957203323
