strategy,total_return,vol_annual,sharpe,max_drawdown,n_days
Equal_Weighted,-0.034305827221340235,0.7424111857735961,0.5059961936831775,-0.26991200853305847,43.0
Historical_Risk_Parity,-0.03626864800779983,0.6847005216051699,0.47777694356450484,-0.2504077963361992,43.0
Method_A_XGBoost,-0.027722185234633545,0.6948896773361661,0.5561692214361081,-0.23864644687636996,43.0
Method_B_XGBoost,-0.050667807230629025,0.7771718174620695,0.38009054057466324,-0.29289935256608324,43.0
Method_C_XGBoost,-0.07084127884735014,0.7317800004990214,0.1728869834256316,-0.2748276400846515,43.0
Method_A_ARMA,0.00935124122720521,0.6996159432877951,0.8694539375938292,-0.241577062934278,43.0
