,CRM,VZ,WMT,INTC,UNH,MRK,BA,NKE,CVX,AMGN
2018-01-02,0.1032876260698923,0.059900303512142476,0.13614131298191176,0.2278567982882175,0.09131861937171,0.05,0.09591222358625448,0.11139669948905921,0.07418641670081245,0.05000000000000002
2018-01-03,0.08997144369061223,0.05,0.17295105815818124,0.14861589795608918,0.10223712863352587,0.05000000000000002,0.10933441873791687,0.14691069422402928,0.07997935859964543,0.05
2018-01-04,0.10684316951813057,0.050000000000000044,0.19709124967528185,0.09428198889432542,0.10054251239737422,0.05,0.1023229923267953,0.15009080987526183,0.09882727731283081,0.05
2018-01-05,0.10398708449084716,0.05000000000000001,0.18467589397495096,0.0947080302314711,0.11944370842221794,0.05,0.1070952294100311,0.16371157416894863,0.0763784793015332,0.05000000000000001
2018-01-08,0.11312643178982762,0.05000000000000004,0.20982352717754918,0.0874127816996195,0.10278712275987124,0.05000000000000005,0.08683002166717359,0.16529481152246092,0.08472530338349789,0.05
2018-01-09,0.13314365596607425,0.05000000000000003,0.18135048704949958,0.05769878806253331,0.09748541091129233,0.05,0.09492033974751095,0.21490104936091084,0.07050026890217868,0.05000000000000001
2018-01-10,0.15116694868160244,0.05000000000000001,0.13048460094516884,0.0541341353034982,0.10509529546817209,0.05,0.09803551323840451,0.21109597078270084,0.09998753558045302,0.05000000000000002
2018-01-11,0.11802795198021,0.051847723112205736,0.10389782590986281,0.10067667390216865,0.09863697108750845,0.050000000000000044,0.10203639397438989,0.2044100723659136,0.12046638766774068,0.05
2018-01-12,0.11283912172763379,0.05,0.09875000800427618,0.07107373695965587,0.11618605675060699,0.05,0.16129274178493405,0.19602145156678727,0.0938368832061058,0.050000000000000024
2018-01-16,0.10032700225844514,0.05,0.0992252536066659,0.06421989377697615,0.15744916759481167,0.050000000000000024,0.1720589219610369,0.1725754414901864,0.08414431931187788,0.05000000000000003
2018-01-17,0.09922751712595308,0.05000000000000002,0.12531562580706973,0.07830814479327596,0.17073550207268465,0.05,0.18746114356458934,0.12316662633362571,0.06578544030280141,0.050000000000000024
2018-01-18,0.1132067050945089,0.05000000000000004,0.1324463261708037,0.08066068832560097,0.1510018059130096,0.050000000000000024,0.18518802126522022,0.12304333811595915,0.06445311511489747,0.05000000000000001
2018-01-19,0.10660122070764605,0.05,0.13206721669006669,0.0978169410488483,0.16591678251730083,0.05,0.13619947060162835,0.1382978997103642,0.07310046872414563,0.05
2018-01-22,0.11475767970203572,0.05,0.09508369513732538,0.12243365235744925,0.1644195478626968,0.05,0.13202325239077142,0.10673861300749315,0.11454355954222842,0.05
2018-01-23,0.10440922296071165,0.05,0.08750415335159348,0.15512218144940232,0.15792161963532456,0.050000000000000024,0.1283829355652677,0.11369162671535187,0.10296826032234851,0.05
2018-01-24,0.11324263224566389,0.056035513476388146,0.08264593687733798,0.12751169500094195,0.1515177533045009,0.05000000000000001,0.13673231083406356,0.12863530971133302,0.10367884854977058,0.05
2018-01-25,0.09612443066878319,0.051398377522111606,0.07872242932404383,0.09688154076120908,0.14639694799715985,0.05000000000000002,0.22608431159800949,0.11479596787282731,0.08959599425585556,0.05
2018-01-26,0.07453080534271048,0.05118454652975702,0.07145116146354132,0.13639268628400406,0.1486115958440012,0.05,0.24999999999999997,0.08651491349686613,0.08131429103911982,0.05
2018-01-29,0.0817314405378837,0.06898627440675723,0.08719285903241393,0.08094873061332923,0.12397733664985999,0.05000000000000002,0.2499999999999999,0.10329146337072947,0.0844066067992193,0.06946528858980734
2018-01-30,0.0863809432410806,0.08056183049466045,0.09137067133178774,0.05670162133167695,0.09407660716842667,0.059305762321897416,0.25,0.11750419517818524,0.09765640917504687,0.06644195975723796
2018-01-31,0.09135873949756299,0.09252231281012309,0.08403676282319873,0.051078423145736684,0.08029067043946708,0.08005069235292525,0.24999999999999983,0.12898823957593025,0.08902711711557315,0.0526470422394828
2018-02-01,0.06145954878338411,0.11678636453803279,0.07821334168839326,0.05000000000000003,0.067293425242274,0.07410598102444886,0.25,0.16811805467374438,0.08402328404972247,0.05
