Date,AMGN,BA,CRM,CVX,INTC,MRK,NKE,UNH,VZ,WMT
2014-07-01,85.6173095703125,110.76191711425781,58.34341812133789,78.48857879638672,23.45789337158203,38.79423522949219,33.24618911743164,67.5728759765625,26.469078063964844,20.023714065551758
2014-07-02,86.1296615600586,110.3038330078125,58.057621002197266,78.30220794677734,23.45789337158203,39.15226364135742,33.156673431396484,68.06795501708984,26.62455940246582,20.11415672302246
2014-07-03,87.42485046386719,111.07306671142578,57.90978240966797,78.87937927246094,23.579042434692383,39.2517204284668,33.43799591064453,68.77758026123047,26.651369094848633,20.148738861083984
2014-07-07,85.51053619384766,111.57437133789062,56.51033401489258,78.44649505615234,23.49574851989746,38.800865173339844,33.523250579833984,67.84516906738281,26.672805786132812,20.233848571777344
2014-07-08,85.36822509765625,109.58643341064453,54.09578323364258,78.103759765625,23.314022064208984,38.568790435791016,33.105533599853516,67.60587310791016,26.423532485961914,20.388124465942383
2014-07-09,85.09066009521484,109.58643341064453,53.80997848510742,78.99964904785156,23.389745712280273,38.820743560791016,33.540287017822266,68.27423858642578,26.499399185180664,20.537073135375977
2014-07-10,84.64945983886719,109.58643341064453,53.514320373535156,78.3142318725586,23.669902801513672,38.840633392333984,33.0330696105957,67.72962951660156,26.900415420532227,20.497180938720703
2014-07-11,85.23300170898438,110.7100601196289,53.425621032714844,77.24398803710938,23.66233253479004,38.74782180786133,32.94356155395508,68.38151550292969,27.268909454345703,20.43334197998047
2014-07-14,84.67081451416016,111.94603729248047,53.93810272216797,77.71900177001953,23.84406089782715,38.57542037963867,33.22487258911133,69.53675842285156,27.382705688476562,20.361528396606445
2014-07-15,83.16213989257812,111.58302307128906,52.96242141723633,77.71900177001953,24.01064109802246,38.39639663696289,33.25897216796875,69.23145294189453,27.48025131225586,20.43865966796875
2014-07-16,83.76705169677734,110.13095092773438,53.16938781738281,78.69901275634766,26.236785888671875,38.55553436279297,32.785850524902344,69.11591339111328,27.61572265625,20.4439754486084
2014-07-17,82.11603546142578,108.79991149902344,51.87834548950195,78.21198272705078,25.5174617767334,38.19085693359375,32.61962127685547,70.22988891601562,27.268909454345703,20.377483367919922
2014-07-18,84.18690490722656,110.32111358642578,52.725894927978516,78.39839935302734,25.5174617767334,38.68151092529297,33.041595458984375,70.5682144165039,27.501934051513672,20.505159378051758
2014-07-21,84.70638275146484,110.89154815673828,52.54850769042969,78.93952941894531,25.79005241394043,38.45607376098633,32.74322509765625,70.1886215209961,27.474838256835938,20.4200496673584
